Locality,Price,Bedrooms,Living area,Kitchen type,Furnished,Terrace surface,Garden surface,Surface of the plot,Number of frontages,Swimming pool,Building condition,Type of property
bruxelles-ville,"2,900,000",5,500,Hyper equipped,0,20,None,None,3,None,As new,apartment
boom,"329,000",3,175,Installed,0,None,None,200,3,None,To be done up,house
liege,"285,000",4,116,Installed,0,7,None,146,2,0,Good,house
etterbeek,"220,000",1,63,Installed,0,None,None,None,2,0,Good,apartment
braine-lalleud,"345,000",3,140,USA hyper equipped,0,8,None,None,2,None,As new,penthouse
uccle,"2,600,000",5,400,Hyper equipped,0,60,700,1425,4,0,None,villa
bruxelles,"450,000",2,101,USA hyper equipped,0,25,None,None,None,0,Good,penthouse
vilvoorde-koningslo,"499,500",4,394,USA installed,None,None,430,590,2,None,Good,exceptional-property
rumst-(terhagen),"395,000",3,260,USA installed,0,98,None,None,3,0,As new,loft
machelen,"249,000",2,101,Hyper equipped,0,None,None,None,None,None,As new,apartment
schaerbeek,"235,000",2,78,USA hyper equipped,0,18,None,None,2,None,Good,apartment
knokke,"1,200,000",3,125,USA hyper equipped,0,None,None,None,3,0,As new,duplex
walcourt-gourdinne,"229,000",3,176,Semi equipped,None,None,None,738,4,None,Good,house
bierbeek,"445,000",2,118,Installed,0,12,None,None,2,None,Good,loft
neuville-en-condroz,"494,000",4,199,Installed,None,24,1597,1734,4,None,Good,villa
kluisbergen,"259,000",3,131,None,0,None,None,814,2,0,None,house
humbeek,"275,000",3,175,Semi equipped,0,None,None,217,2,None,To renovate,house
wichelen,"279,000",4,146,None,0,None,None,646,4,None,To renovate,house
marloie,"255,000",2,105,Hyper equipped,0,18,None,None,None,0,As new,apartment
fauvillers,"180,000",3,None,Installed,0,None,None,719,3,None,Just renovated,house
ans,"187,500",2,99,Installed,0,8,None,None,None,None,None,apartment
rupelmonde,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
evere,"405,000",3,105,USA hyper equipped,0,12,None,None,2,0,As new,apartment
antwerp,"595,000",2,None,Hyper equipped,None,70,None,None,None,None,As new,apartment
la-louviere,"197,500",3,112,Installed,0,2,None,None,2,0,As new,duplex
esneux,"219,000",3,128,Not installed,0,None,None,1223,4,None,To be done up,house
izegem,"245,000",3,112,Hyper equipped,0,8,1,None,None,0,As new,ground-floor
bernissart,"134,200",2,71,Hyper equipped,0,None,None,None,2,None,As new,apartment
grazen,"789,000",3,244,Hyper equipped,0,None,None,6063,4,None,Good,villa
baelen,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
fleurus,"250,000",3,135,Not installed,0,None,None,None,None,None,Good,apartment
schaerbeek,"285,000",2,84,USA hyper equipped,0,None,None,None,2,0,Good,apartment
nazareth,"332,500",2,100,None,None,20,None,None,None,0,As new,apartment
gavere,"335,000",3,394,None,0,None,110,418,3,None,To renovate,mixed-use-building
sint-gillis-bij-dendermonde,"497,500",5,None,None,0,None,200,1080,2,None,To renovate,mixed-use-building
waterloo,"479,000",4,175,Installed,0,28,None,280,2,None,Good,house
marche-en-famenne,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
sint-andries,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
herstal,"300,000",3,396,Installed,None,None,93,318,2,0,Good,house
saint-gilles,"295,000",1,65,USA installed,None,None,None,None,2,None,As new,apartment
charleroi,"259,000",11,256,Semi equipped,0,None,None,113,2,0,Good,house
seraing,"231,500",2,90,Installed,0,6,None,None,None,None,None,apartment
herseaux,"430,000",4,191,Hyper equipped,0,None,None,573,4,None,Good,villa
uccle,"469,000",3,129,USA installed,0,10,None,None,3,0,As new,duplex
gent,"920,000",None,256,Installed,None,None,None,450,None,None,As new,mixed-use-building
